slug,true_outcome
btc-updown-5m-1783896000,down
btc-updown-5m-1783896300,down
btc-updown-5m-1783896600,up
btc-updown-5m-1783896900,up
btc-updown-5m-1783897200,down
btc-updown-5m-1783897500,down
btc-updown-5m-1783897800,up
btc-updown-5m-1783898100,down
btc-updown-5m-1783898400,up
btc-updown-5m-1783898700,down
btc-updown-5m-1783899000,up
btc-updown-5m-1783899300,down
btc-updown-5m-1783899600,up
btc-updown-5m-1783899900,down
btc-updown-5m-1783900200,up
btc-updown-5m-1783900500,down
btc-updown-5m-1783900800,up
btc-updown-5m-1783901100,up
btc-updown-5m-1783901400,up
btc-updown-5m-1783901700,down
btc-updown-5m-1783902000,down
btc-updown-5m-1783902300,down
btc-updown-5m-1783902600,down
btc-updown-5m-1783902900,down
btc-updown-5m-1783903200,up
btc-updown-5m-1783903500,up
btc-updown-5m-1783903800,up
btc-updown-5m-1783904100,up
btc-updown-5m-1783904400,down
btc-updown-5m-1783904700,down
btc-updown-5m-1783905000,up
btc-updown-5m-1783905300,down
btc-updown-5m-1783905600,down
btc-updown-5m-1783906200,down
btc-updown-5m-1783906500,up
btc-updown-5m-1783907100,down
btc-updown-5m-1783907700,down
btc-updown-5m-1783908000,down
btc-updown-5m-1783908600,up
btc-updown-5m-1783908900,up
btc-updown-5m-1783909200,down
btc-updown-5m-1783909500,up
btc-updown-5m-1783910400,up
btc-updown-5m-1783910700,down
btc-updown-5m-1783911000,down
btc-updown-5m-1783911300,down
btc-updown-5m-1783911600,down
btc-updown-5m-1783911900,down
btc-updown-5m-1783912800,up
btc-updown-5m-1783913100,up
btc-updown-5m-1783913400,down
btc-updown-5m-1783913700,up
btc-updown-5m-1783914000,down
btc-updown-5m-1783914300,up
btc-updown-5m-1783914900,up
btc-updown-5m-1783915200,down
btc-updown-5m-1783915500,up
btc-updown-5m-1783915800,up
btc-updown-5m-1783916100,up
btc-updown-5m-1783916400,down
btc-updown-5m-1783916700,up
btc-updown-5m-1783917000,down
btc-updown-5m-1783917300,up
btc-updown-5m-1783917600,down
btc-updown-5m-1783917900,up
btc-updown-5m-1783918200,up
btc-updown-5m-1783918500,down
btc-updown-5m-1783918800,up
btc-updown-5m-1783919100,up
btc-updown-5m-1783920000,down
btc-updown-5m-1783920300,down
btc-updown-5m-1783920600,up
btc-updown-5m-1783920900,up
btc-updown-5m-1783921200,up
btc-updown-5m-1783922100,up
btc-updown-5m-1783922400,up
btc-updown-5m-1783922700,up
btc-updown-5m-1783923000,down
btc-updown-5m-1783923600,up
btc-updown-5m-1783923900,up
btc-updown-5m-1783924200,down
btc-updown-5m-1783924500,up
btc-updown-5m-1783924800,up
btc-updown-5m-1783925100,down
btc-updown-5m-1783925400,down
btc-updown-5m-1783925700,down
btc-updown-5m-1783926000,down
btc-updown-5m-1783926300,up
btc-updown-5m-1783926600,down
btc-updown-5m-1783927200,up
btc-updown-5m-1783927500,up
btc-updown-5m-1783927800,up
btc-updown-5m-1783928100,up
btc-updown-5m-1783928400,down
btc-updown-5m-1783929000,up
btc-updown-5m-1783933200,down
btc-updown-5m-1783933500,down
btc-updown-5m-1783933800,up
btc-updown-5m-1783934100,down
btc-updown-5m-1783934400,up
btc-updown-5m-1783934700,up
btc-updown-5m-1783935000,down
btc-updown-5m-1783935300,down
btc-updown-5m-1783935600,down
btc-updown-5m-1783935900,up
btc-updown-5m-1783940700,up
btc-updown-5m-1783941000,down
btc-updown-5m-1783941300,down
btc-updown-5m-1783941600,up
btc-updown-5m-1783941900,up
btc-updown-5m-1783942200,down
btc-updown-5m-1783942500,down
btc-updown-5m-1783942800,down
btc-updown-5m-1783943100,down
btc-updown-5m-1783943400,down
btc-updown-5m-1783943700,down
btc-updown-5m-1783947900,down
btc-updown-5m-1783948200,down
btc-updown-5m-1783948500,down
btc-updown-5m-1783955100,up
btc-updown-5m-1783955400,up
btc-updown-5m-1783955700,up
btc-updown-5m-1783956000,down
btc-updown-5m-1783956300,down
