source,filename,reason
data\btc-updown-5m-1777926900.csv,btc-updown-5m-1777926900.csv,missing valid BTC price or price_to_beat values for outcome inference
data_uncleaned\2026-05-05\btc-updown-5m-1777137600.csv,btc-updown-5m-1777137600.csv,"missing required columns: ['btc_binance', 'btc_chainlink', 'elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777137900.csv,btc-updown-5m-1777137900.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777138200.csv,btc-updown-5m-1777138200.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777138500.csv,btc-updown-5m-1777138500.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777139100.csv,btc-updown-5m-1777139100.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777139400.csv,btc-updown-5m-1777139400.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777139700.csv,btc-updown-5m-1777139700.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777140000.csv,btc-updown-5m-1777140000.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777140300.csv,btc-updown-5m-1777140300.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777140600.csv,btc-updown-5m-1777140600.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777140900.csv,btc-updown-5m-1777140900.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777141200.csv,btc-updown-5m-1777141200.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777141500.csv,btc-updown-5m-1777141500.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777141800.csv,btc-updown-5m-1777141800.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777142100.csv,btc-updown-5m-1777142100.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777142400.csv,btc-updown-5m-1777142400.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
