source_run,source,filename,reason
runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1,runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1\market_data\btc-updown-5m-1778954400.csv,btc-updown-5m-1778954400.csv,ready: first_elapsed=0.468s ptb_elapsed=0.468s last_elapsed=299.959s
runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1,runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1\market_data\btc-updown-5m-1778954700.csv,btc-updown-5m-1778954700.csv,ready: first_elapsed=1.774s ptb_elapsed=2.316s last_elapsed=299.990s
runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1,runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1\market_data\btc-updown-5m-1778955000.csv,btc-updown-5m-1778955000.csv,ready: first_elapsed=1.666s ptb_elapsed=2.207s last_elapsed=300.068s
runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1,runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1\market_data\btc-updown-5m-1778955300.csv,btc-updown-5m-1778955300.csv,ready: first_elapsed=1.893s ptb_elapsed=2.277s last_elapsed=300.024s
runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1,runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1\market_data\btc-updown-5m-1778955600.csv,btc-updown-5m-1778955600.csv,ready: first_elapsed=1.741s ptb_elapsed=2.102s last_elapsed=299.944s
runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1,runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1\market_data\btc-updown-5m-1778955900.csv,btc-updown-5m-1778955900.csv,ready: first_elapsed=1.713s ptb_elapsed=2.303s last_elapsed=299.957s
runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1,runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1\market_data\btc-updown-5m-1778956200.csv,btc-updown-5m-1778956200.csv,ready: first_elapsed=1.804s ptb_elapsed=2.185s last_elapsed=299.951s
runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1,runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1\market_data\btc-updown-5m-1778956500.csv,btc-updown-5m-1778956500.csv,ready: first_elapsed=1.982s ptb_elapsed=1.982s last_elapsed=300.058s
runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1,runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1\market_data\btc-updown-5m-1778956800.csv,btc-updown-5m-1778956800.csv,ready: first_elapsed=1.870s ptb_elapsed=2.073s last_elapsed=300.022s
runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1,runs\live_strategy_suite\live_family_plus_token_decrease_band_scaled_liquidity_v1\market_data\btc-updown-5m-1778957100.csv,btc-updown-5m-1778957100.csv,ready: first_elapsed=2.158s ptb_elapsed=2.158s last_elapsed=300.089s
