slug,true_outcome
btc-updown-5m-1778924400,down
btc-updown-5m-1778924700,down
btc-updown-5m-1778925300,down
btc-updown-5m-1778948100,up
btc-updown-5m-1778948400,down
btc-updown-5m-1778948700,down
btc-updown-5m-1778949000,up
btc-updown-5m-1778949300,down
btc-updown-5m-1778949600,down
btc-updown-5m-1778949900,up
btc-updown-5m-1778950200,down
btc-updown-5m-1778950500,up
btc-updown-5m-1778950800,up
btc-updown-5m-1778951100,up
btc-updown-5m-1778951400,up
btc-updown-5m-1778951700,up
btc-updown-5m-1778954400,down
btc-updown-5m-1778954700,down
btc-updown-5m-1778955000,up
btc-updown-5m-1778955300,down
btc-updown-5m-1778955600,down
btc-updown-5m-1778955900,up
btc-updown-5m-1778956200,up
btc-updown-5m-1778956500,down
btc-updown-5m-1778956800,up
btc-updown-5m-1778957100,down
btc-updown-5m-1778957400,down
btc-updown-5m-1778957700,up
btc-updown-5m-1778958000,up
btc-updown-5m-1778958300,down
btc-updown-5m-1778958600,up
btc-updown-5m-1778958900,up
btc-updown-5m-1778959200,down
btc-updown-5m-1778959500,up
btc-updown-5m-1778960100,down
btc-updown-5m-1778960400,down
btc-updown-5m-1778960700,up
btc-updown-5m-1778961000,down
btc-updown-5m-1778961300,down
btc-updown-5m-1778961600,up
btc-updown-5m-1778961900,down
btc-updown-5m-1778962200,up
btc-updown-5m-1778962500,up
btc-updown-5m-1778962800,down
btc-updown-5m-1778963100,down
btc-updown-5m-1778963400,down
btc-updown-5m-1778963700,down
btc-updown-5m-1778964000,down
btc-updown-5m-1778964300,up
btc-updown-5m-1778964600,up
btc-updown-5m-1778964900,up
btc-updown-5m-1778965200,up
btc-updown-5m-1778965500,up
btc-updown-5m-1778965800,up
btc-updown-5m-1778966100,down
btc-updown-5m-1778966400,down
btc-updown-5m-1778966700,up
btc-updown-5m-1778967000,up
btc-updown-5m-1778967300,down
btc-updown-5m-1778967600,up
btc-updown-5m-1778967900,down
btc-updown-5m-1778968200,up
btc-updown-5m-1778968500,down
btc-updown-5m-1778968800,down
btc-updown-5m-1778969400,up
btc-updown-5m-1778969700,up
btc-updown-5m-1779059700,up
btc-updown-5m-1779060000,up
btc-updown-5m-1779060300,down
btc-updown-5m-1779060600,up
btc-updown-5m-1779060900,down
btc-updown-5m-1779061200,down
btc-updown-5m-1779061500,up
btc-updown-5m-1779061800,up
btc-updown-5m-1779062100,down
btc-updown-5m-1779062400,down
btc-updown-5m-1779062700,down
btc-updown-5m-1779063000,up
btc-updown-5m-1779063300,down
btc-updown-5m-1779063600,up
btc-updown-5m-1779063900,down
btc-updown-5m-1779064200,down
btc-updown-5m-1779064500,up
btc-updown-5m-1779064800,down
btc-updown-5m-1779065100,up
btc-updown-5m-1779065400,down
btc-updown-5m-1779065700,up
btc-updown-5m-1779066000,down
btc-updown-5m-1779066300,up
btc-updown-5m-1779066600,down
btc-updown-5m-1779067200,down
btc-updown-5m-1779067500,down
btc-updown-5m-1779067800,down
btc-updown-5m-1779068100,up
btc-updown-5m-1779068400,down
btc-updown-5m-1779068700,up
btc-updown-5m-1779069000,up
btc-updown-5m-1779069300,up
btc-updown-5m-1779069600,up
btc-updown-5m-1779069900,up
btc-updown-5m-1779070200,down
btc-updown-5m-1779070500,down
btc-updown-5m-1779070800,down
btc-updown-5m-1779071100,up
btc-updown-5m-1779071400,down
btc-updown-5m-1779071700,down
btc-updown-5m-1779072000,down
btc-updown-5m-1779072300,down
btc-updown-5m-1779072600,down
btc-updown-5m-1779072900,up
btc-updown-5m-1779073200,up
btc-updown-5m-1779073500,up
btc-updown-5m-1779073800,down
btc-updown-5m-1779074100,up
btc-updown-5m-1779074400,up
btc-updown-5m-1779074700,up
btc-updown-5m-1779075000,down
btc-updown-5m-1779075300,up
btc-updown-5m-1779075600,up
btc-updown-5m-1779075900,down
btc-updown-5m-1779076200,down
btc-updown-5m-1779076500,up
btc-updown-5m-1779076800,down
btc-updown-5m-1779077100,up
btc-updown-5m-1779077400,up
btc-updown-5m-1779077700,down
btc-updown-5m-1779078000,down
btc-updown-5m-1779078300,up
btc-updown-5m-1779078600,up
btc-updown-5m-1779078900,up
btc-updown-5m-1779079200,up
btc-updown-5m-1779079500,down
btc-updown-5m-1779079800,up
btc-updown-5m-1779080100,up
btc-updown-5m-1779080400,up
btc-updown-5m-1779080700,down
btc-updown-5m-1779081000,down
btc-updown-5m-1779081300,down
btc-updown-5m-1779081600,up
btc-updown-5m-1779082200,down
btc-updown-5m-1779082500,up
btc-updown-5m-1779082800,down
btc-updown-5m-1779083100,up
btc-updown-5m-1779083400,down
btc-updown-5m-1779083700,down
btc-updown-5m-1779084000,down
btc-updown-5m-1779084300,down
btc-updown-5m-1779084600,up
btc-updown-5m-1779084900,down
btc-updown-5m-1779085200,down
btc-updown-5m-1779085500,down
btc-updown-5m-1779085800,up
btc-updown-5m-1779086100,down
btc-updown-5m-1779086400,up
btc-updown-5m-1779086700,up
btc-updown-5m-1779087000,down
btc-updown-5m-1779087300,up
btc-updown-5m-1779087600,up
btc-updown-5m-1779087900,down
btc-updown-5m-1779088200,down
btc-updown-5m-1779088500,down
btc-updown-5m-1779088800,down
btc-updown-5m-1779089100,up
btc-updown-5m-1779089400,up
btc-updown-5m-1779089700,down
btc-updown-5m-1779090000,down
btc-updown-5m-1779090300,up
btc-updown-5m-1779090600,up
btc-updown-5m-1779090900,up
btc-updown-5m-1779091200,up
btc-updown-5m-1779091500,down
btc-updown-5m-1779091800,down
btc-updown-5m-1779092100,down
btc-updown-5m-1779092400,down
btc-updown-5m-1779092700,down
btc-updown-5m-1779093000,up
btc-updown-5m-1779093300,down
btc-updown-5m-1779093600,up
btc-updown-5m-1779093900,down
btc-updown-5m-1779094200,up
btc-updown-5m-1779094500,up
btc-updown-5m-1779094800,down
btc-updown-5m-1779095100,down
btc-updown-5m-1779095400,down
btc-updown-5m-1779095700,up
btc-updown-5m-1779096000,up
btc-updown-5m-1779096300,down
btc-updown-5m-1779096900,up
btc-updown-5m-1779097200,down
btc-updown-5m-1779097500,up
btc-updown-5m-1779097800,down
btc-updown-5m-1779098100,up
btc-updown-5m-1779098400,down
btc-updown-5m-1779098700,down
btc-updown-5m-1779099000,down
btc-updown-5m-1779099300,down
btc-updown-5m-1779099600,up
btc-updown-5m-1779099900,up
btc-updown-5m-1779100200,down
btc-updown-5m-1779100500,up
btc-updown-5m-1779100800,down
btc-updown-5m-1779101100,up
btc-updown-5m-1779101400,down
btc-updown-5m-1779101700,down
btc-updown-5m-1779102000,down
btc-updown-5m-1779102300,down
btc-updown-5m-1779102600,up
btc-updown-5m-1779102900,up
btc-updown-5m-1779103200,up
btc-updown-5m-1779103500,down
btc-updown-5m-1779103800,up
btc-updown-5m-1779104100,up
btc-updown-5m-1779104400,up
btc-updown-5m-1779104700,down
btc-updown-5m-1779105000,up
btc-updown-5m-1779105300,down
btc-updown-5m-1779105900,up
btc-updown-5m-1779106200,down
btc-updown-5m-1779106500,up
btc-updown-5m-1779106800,up
btc-updown-5m-1779107100,down
btc-updown-5m-1779107400,up
btc-updown-5m-1779107700,up
btc-updown-5m-1779108000,up
btc-updown-5m-1779108300,down
btc-updown-5m-1779108600,down
btc-updown-5m-1779108900,up
btc-updown-5m-1779109200,down
btc-updown-5m-1779109500,down
btc-updown-5m-1779109800,up
btc-updown-5m-1779110100,down
btc-updown-5m-1779110400,down
btc-updown-5m-1779110700,down
btc-updown-5m-1779111000,down
btc-updown-5m-1779111300,down
btc-updown-5m-1779111600,down
btc-updown-5m-1779111900,up
btc-updown-5m-1779112200,up
btc-updown-5m-1779112500,down
btc-updown-5m-1779112800,up
btc-updown-5m-1779113100,down
btc-updown-5m-1779113400,down
btc-updown-5m-1779113700,down
btc-updown-5m-1779114000,up
btc-updown-5m-1779114300,down
btc-updown-5m-1779114600,down
btc-updown-5m-1779114900,up
btc-updown-5m-1779115200,down
btc-updown-5m-1779115500,down
btc-updown-5m-1779115800,down
btc-updown-5m-1779116100,up
btc-updown-5m-1779116400,down
btc-updown-5m-1779116700,down
btc-updown-5m-1779117000,up
btc-updown-5m-1779117300,down
btc-updown-5m-1779117600,up
btc-updown-5m-1779117900,down
btc-updown-5m-1779118200,up
btc-updown-5m-1779118500,up
btc-updown-5m-1779118800,up
btc-updown-5m-1779119100,down
btc-updown-5m-1779119400,up
btc-updown-5m-1779120000,down
btc-updown-5m-1779120300,up
btc-updown-5m-1779120600,up
btc-updown-5m-1779120900,up
btc-updown-5m-1779121200,down
btc-updown-5m-1779121500,down
btc-updown-5m-1779121800,up
btc-updown-5m-1779122100,up
btc-updown-5m-1779122400,up
btc-updown-5m-1779122700,down
btc-updown-5m-1779123000,down
btc-updown-5m-1779123300,down
btc-updown-5m-1779123600,up
btc-updown-5m-1779123900,up
btc-updown-5m-1779124500,up
btc-updown-5m-1779124800,down
btc-updown-5m-1779125100,up
btc-updown-5m-1779125400,down
btc-updown-5m-1779126000,up
btc-updown-5m-1779126300,up
btc-updown-5m-1779126600,up
btc-updown-5m-1779127200,down
btc-updown-5m-1779127500,down
btc-updown-5m-1779127800,down
btc-updown-5m-1779128100,down
btc-updown-5m-1779128400,down
btc-updown-5m-1779128700,up
btc-updown-5m-1779129000,up
btc-updown-5m-1779129300,down
btc-updown-5m-1779129600,up
btc-updown-5m-1779129900,down
btc-updown-5m-1779130200,down
btc-updown-5m-1779130800,up
btc-updown-5m-1779131100,down
btc-updown-5m-1779131400,down
btc-updown-5m-1779131700,up
btc-updown-5m-1779132000,down
btc-updown-5m-1779132300,up
btc-updown-5m-1779132600,up
btc-updown-5m-1779132900,up
btc-updown-5m-1779133500,down
btc-updown-5m-1779133800,up
btc-updown-5m-1779134100,up
btc-updown-5m-1779134700,up
btc-updown-5m-1779135300,up
btc-updown-5m-1779135900,up
btc-updown-5m-1779136200,down
btc-updown-5m-1779136500,down
btc-updown-5m-1783896000,down
btc-updown-5m-1783896300,down
btc-updown-5m-1783896600,up
btc-updown-5m-1783896900,up
btc-updown-5m-1783897200,down
btc-updown-5m-1783897500,down
btc-updown-5m-1783897800,up
btc-updown-5m-1783898100,down
btc-updown-5m-1783898400,up
btc-updown-5m-1783898700,down
btc-updown-5m-1783899000,up
btc-updown-5m-1783899300,down
btc-updown-5m-1783899600,up
btc-updown-5m-1783899900,down
btc-updown-5m-1783900200,up
btc-updown-5m-1783900500,down
btc-updown-5m-1783900800,up
btc-updown-5m-1783901100,up
btc-updown-5m-1783901400,up
btc-updown-5m-1783901700,down
btc-updown-5m-1783902000,down
btc-updown-5m-1783902300,down
btc-updown-5m-1783902600,down
btc-updown-5m-1783902900,down
btc-updown-5m-1783903200,up
btc-updown-5m-1783903500,up
btc-updown-5m-1783903800,up
btc-updown-5m-1783904100,up
btc-updown-5m-1783904400,down
btc-updown-5m-1783904700,down
btc-updown-5m-1783905000,up
btc-updown-5m-1783905300,down
btc-updown-5m-1783905600,down
btc-updown-5m-1783906200,down
btc-updown-5m-1783906500,up
btc-updown-5m-1783907100,down
btc-updown-5m-1783907700,down
btc-updown-5m-1783908000,down
btc-updown-5m-1783908600,up
btc-updown-5m-1783908900,up
btc-updown-5m-1783909200,down
btc-updown-5m-1783909500,up
btc-updown-5m-1783910400,up
btc-updown-5m-1783910700,down
btc-updown-5m-1783911000,down
btc-updown-5m-1783911300,down
btc-updown-5m-1783911600,down
btc-updown-5m-1783911900,down
btc-updown-5m-1783912800,up
btc-updown-5m-1783913100,up
btc-updown-5m-1783913400,down
btc-updown-5m-1783913700,up
btc-updown-5m-1783914000,down
btc-updown-5m-1783914300,up
btc-updown-5m-1783914900,up
btc-updown-5m-1783915200,down
btc-updown-5m-1783915500,up
btc-updown-5m-1783915800,up
btc-updown-5m-1783916100,up
btc-updown-5m-1783916400,down
btc-updown-5m-1783916700,up
btc-updown-5m-1783917000,down
btc-updown-5m-1783917300,up
btc-updown-5m-1783917600,down
btc-updown-5m-1783917900,up
btc-updown-5m-1783918200,up
btc-updown-5m-1783918500,down
btc-updown-5m-1783918800,up
btc-updown-5m-1783919100,up
btc-updown-5m-1783920000,down
btc-updown-5m-1783920300,down
btc-updown-5m-1783920600,up
btc-updown-5m-1783920900,up
btc-updown-5m-1783921200,up
btc-updown-5m-1783922100,up
btc-updown-5m-1783922400,up
btc-updown-5m-1783922700,up
btc-updown-5m-1783923000,down
btc-updown-5m-1783923600,up
btc-updown-5m-1783923900,up
btc-updown-5m-1783924200,down
btc-updown-5m-1783924500,up
btc-updown-5m-1783924800,up
btc-updown-5m-1783925100,down
btc-updown-5m-1783925400,down
btc-updown-5m-1783925700,down
btc-updown-5m-1783926000,down
btc-updown-5m-1783926300,up
btc-updown-5m-1783926600,down
btc-updown-5m-1783927200,up
btc-updown-5m-1783927500,up
btc-updown-5m-1783927800,up
btc-updown-5m-1783928100,up
btc-updown-5m-1783928400,down
btc-updown-5m-1783929000,up
btc-updown-5m-1783933200,down
btc-updown-5m-1783933500,down
btc-updown-5m-1783933800,up
btc-updown-5m-1783934100,down
btc-updown-5m-1783934400,up
btc-updown-5m-1783934700,up
btc-updown-5m-1783935000,down
btc-updown-5m-1783935300,down
btc-updown-5m-1783935600,down
btc-updown-5m-1783935900,up
btc-updown-5m-1783940700,up
btc-updown-5m-1783941000,down
btc-updown-5m-1783941300,down
btc-updown-5m-1783941600,up
btc-updown-5m-1783941900,up
btc-updown-5m-1783942200,down
btc-updown-5m-1783942500,down
btc-updown-5m-1783942800,down
btc-updown-5m-1783943100,down
btc-updown-5m-1783943400,down
btc-updown-5m-1783943700,down
btc-updown-5m-1783947900,down
btc-updown-5m-1783948200,down
btc-updown-5m-1783948500,down
btc-updown-5m-1783955100,up
btc-updown-5m-1783955400,up
btc-updown-5m-1783955700,up
btc-updown-5m-1783956000,down
btc-updown-5m-1783956300,down
